Year,Articles,Cross-lists,Total
2023,79396,11660,91056
2022,70138,11862,82000
2021,66509,11050,77559
2020,59309,12175,71484
2019,46514,8546,55060
2018,35889,5671,41560
2017,27045,3654,30699
2016,20765,2903,23668
2015,16184,2630,18814
2014,14021,2305,16326
2013,12646,2299,14945
2012,10132,2123,12255
2011,7315,1840,9155
2010,6496,1070,7566
2009,4374,500,4874
2008,3243,373,3616
2007,2565,269,2834
2006,1677,208,1885
2005,1200,174,1374
2004,857,160,1017
2003,707,155,862
2002,578,119,697
2001,539,64,603
2000,445,54,499
1999,277,48,325
1998,224,108,332
1997,21,171,192
1996,30,208,238
1995,29,228,257
1994,15,236,251
1993,23,1,24
