Year,Articles,Cross-lists,Total
2023,13816,2348,16164
2022,14496,2637,17133
2021,14464,2649,17113
2020,14834,2468,17302
2019,14419,2177,16596
2018,14081,1889,15970
2017,13263,1868,15131
2016,13216,1961,15177
2015,12898,2056,14954
2014,12585,1970,14555
2013,12474,1752,14226
2012,12122,1726,13848
2011,11954,1719,13673
2010,11616,1505,13121
2009,11287,1196,12483
2008,10089,1156,11245
2007,10141,1203,11344
2006,9271,1101,10372
2005,8746,1040,9786
2004,8242,1012,9254
2003,7899,941,8840
2002,7027,816,7843
2001,6806,802,7608
2000,6341,678,7019
1999,5638,601,6239
1998,4745,569,5314
1997,3576,341,3917
1996,2418,270,2688
1995,1659,251,1910
1994,1029,197,1226
1993,489,124,613
1992,59,62,121
