Year,Articles,Cross-lists,Total
2023,1051,2987,4038
2022,1186,3047,4233
2021,1105,3109,4214
2020,1385,2909,4294
2019,1477,2686,4163
2018,1397,2243,3640
2017,1465,2309,3774
2016,1485,2422,3907
2015,1616,2326,3942
2014,1639,2090,3729
2013,1770,2183,3953
2012,1992,2400,4392
2011,1776,2309,4085
2010,1575,2086,3661
2009,1459,1326,2785
2008,1261,1283,2544
2007,1169,1268,2437
2006,937,1111,2048
2005,951,944,1895
2004,874,861,1735
2003,747,788,1535
2002,703,748,1451
2001,489,701,1190
2000,521,619,1140
1999,407,533,940
1998,232,386,618
1997,0,214,214
1996,0,44,44
