Year,Articles,Cross-lists,Total
2023,1015,1133,2148
2022,1112,1218,2330
2021,1109,1297,2406
2020,1241,1355,2596
2019,1247,1180,2427
2018,1254,1070,2324
2017,1268,1033,2301
2016,1378,1034,2412
2015,1258,1131,2389
2014,1241,1104,2345
2013,1295,1068,2363
2012,1257,1162,2419
2011,1244,1083,2327
2010,1200,973,2173
2009,1125,544,1669
2008,1044,518,1562
2007,1114,547,1661
2006,1049,499,1548
2005,1064,542,1606
2004,1142,502,1644
2003,1156,526,1682
2002,1046,507,1553
2001,941,528,1469
2000,973,543,1516
1999,1035,437,1472
1998,977,381,1358
1997,806,296,1102
1996,652,276,928
1995,517,268,785
1994,390,174,564
1993,302,105,407
1992,49,15,64
