Year,Articles,Cross-lists,Total
2023,12669,6699,19368
2022,13249,6930,20179
2021,13862,6953,20815
2020,15303,6800,22103
2019,13229,5690,18919
2018,12535,4411,16946
2017,10559,3927,14486
2016,9668,4036,13704
2015,8720,3766,12486
2014,7926,3713,11639
2013,7506,3613,11119
2012,6535,3890,10425
2011,5559,3127,8686
2010,4870,2533,7403
2009,4482,1200,5682
2008,3913,936,4849
2007,3555,853,4408
2006,3157,736,3893
2005,2759,600,3359
2004,2086,589,2675
2003,1619,494,2113
2002,1223,477,1700
2001,1225,432,1657
2000,1143,446,1589
1999,743,299,1042
1998,589,266,855
1997,445,162,607
1996,72,172,244
