field_id,year,article_count,cross_list_count,total_article_count
1,2023,79396,11660,91056
1,2022,70138,11862,82000
1,2021,66509,11050,77559
1,2020,59309,12175,71484
1,2019,46514,8546,55060
1,2018,35889,5671,41560
1,2017,27045,3654,30699
1,2016,20765,2903,23668
1,2015,16184,2630,18814
1,2014,14021,2305,16326
1,2013,12646,2299,14945
1,2012,10132,2123,12255
1,2011,7315,1840,9155
1,2010,6496,1070,7566
1,2009,4374,500,4874
1,2008,3243,373,3616
1,2007,2565,269,2834
1,2006,1677,208,1885
1,2005,1200,174,1374
1,2004,857,160,1017
1,2003,707,155,862
1,2002,578,119,697
1,2001,539,64,603
1,2000,445,54,499
1,1999,277,48,325
1,1998,224,108,332
1,1997,21,171,192
1,1996,30,208,238
1,1995,29,228,257
1,1994,15,236,251
1,1993,23,1,24
2,2023,36613,7115,43728
2,2022,38258,7055,45313
2,2021,38160,7015,45175
2,2020,39092,7004,46096
2,2019,37294,5712,43006
2,2018,35902,4284,40186
2,2017,34364,4060,38424
2,2016,32553,3824,36377
2,2015,31185,3687,34872
2,2014,28643,3429,32072
2,2013,26785,3394,30179
2,2012,24176,3233,27409
2,2011,21287,2933,24220
2,2010,18765,2466,21231
2,2009,16319,1289,17608
2,2008,14373,1210,15583
2,2007,13110,1096,14206
2,2006,10907,1051,11958
2,2005,8902,1088,9990
2,2004,7328,1015,8343
2,2003,5866,780,6646
2,2002,4654,981,5635
2,2001,3463,897,4360
2,2000,3093,987,4080
2,1999,2524,813,3337
2,1998,2135,562,2697
2,1997,423,1425,1848
2,1996,325,1096,1421
2,1995,330,863,1193
2,1994,317,635,952
2,1993,221,379,600
2,1992,277,159,436
3,2023,2120,1343,3463
3,2022,1937,1269,3206
3,2021,2093,1208,3301
3,2020,2767,1484,4251
3,2019,1850,1053,2903
3,2018,1781,955,2736
3,2017,1677,800,2477
3,2016,1690,772,2462
3,2015,1556,741,2297
3,2014,1452,747,2199
3,2013,1554,778,2332
3,2012,1058,718,1776
3,2011,767,646,1413
3,2010,693,544,1237
3,2009,693,345,1038
3,2008,716,222,938
3,2007,722,222,944
3,2006,592,159,751
3,2005,546,141,687
3,2004,506,181,687
3,2003,162,479,641
4,2023,1449,416,1865
4,2022,1413,363,1776
4,2021,1539,450,1989
4,2020,1417,428,1845
4,2019,1032,344,1376
4,2018,843,220,1063
4,2017,718,183,901
4,2016,746,168,914
4,2015,688,166,854
4,2014,647,172,819
4,2013,593,152,745
4,2012,480,154,634
4,2011,460,121,581
4,2010,436,101,537
4,2009,344,61,405
4,2008,281,39,320
5,2023,5686,4144,9830
5,2022,5835,4380,10215
5,2021,5874,4541,10415
5,2020,6240,11622,17862
5,2019,5446,11457,16903
5,2018,5329,6813,12142
5,2017,4879,2636,7515
5,2016,3909,1749,5658
5,2015,3386,1313,4699
5,2014,2819,1088,3907
5,2013,2343,1086,3429
5,2012,1983,1211,3194
5,2011,1492,520,2012
5,2010,1094,377,1471
5,2009,890,223,1113
5,2008,887,203,1090
5,2007,654,200,854
6,2023,1332,418,1750
6,2022,1308,439,1747
6,2021,1372,489,1861
6,2020,1063,475,1538
6,2019,673,300,973
6,2018,439,146,585
6,2017,58,65,123
7,2023,8701,7042,15743
7,2022,8803,6893,15696
7,2021,8051,6318,14369
7,2020,9327,6368,15695
7,2019,5543,4084,9627
7,2018,2316,1337,3653
7,2017,412,305,717
8,2023,13816,2348,16164
8,2022,14496,2637,17133
8,2021,14464,2649,17113
8,2020,14834,2468,17302
8,2019,14419,2177,16596
8,2018,14081,1889,15970
8,2017,13263,1868,15131
8,2016,13216,1961,15177
8,2015,12898,2056,14954
8,2014,12585,1970,14555
8,2013,12474,1752,14226
8,2012,12122,1726,13848
8,2011,11954,1719,13673
8,2010,11616,1505,13121
8,2009,11287,1196,12483
8,2008,10089,1156,11245
8,2007,10141,1203,11344
8,2006,9271,1101,10372
8,2005,8746,1040,9786
8,2004,8242,1012,9254
8,2003,7899,941,8840
8,2002,7027,816,7843
8,2001,6806,802,7608
8,2000,6341,678,7019
8,1999,5638,601,6239
8,1998,4745,569,5314
8,1997,3576,341,3917
8,1996,2418,270,2688
8,1995,1659,251,1910
8,1994,1029,197,1226
8,1993,489,124,613
8,1992,59,62,121
9,2023,14596,4064,18660
9,2022,15514,4188,19702
9,2021,16150,4319,20469
9,2020,16212,4692,20904
9,2019,15228,4285,19513
9,2018,14752,3559,18311
9,2017,14392,3151,17543
9,2016,14615,2977,17592
9,2015,13930,2839,16769
9,2014,13108,2664,15772
9,2013,12746,2636,15382
9,2012,12184,2627,14811
9,2011,11735,2240,13975
9,2010,11189,1903,13092
9,2009,10304,1115,11419
9,2008,10281,1066,11347
9,2007,9415,992,10407
9,2006,9243,986,10229
9,2005,9234,1024,10258
9,2004,8953,876,9829
9,2003,8367,737,9104
9,2002,7762,629,8391
9,2001,7024,604,7628
9,2000,6023,562,6585
9,1999,5488,519,6007
9,1998,4636,481,5117
9,1997,3534,343,3877
9,1996,2545,411,2956
9,1995,1823,377,2200
9,1994,1323,218,1541
9,1993,687,142,829
9,1992,219,64,283
10,2023,3431,2351,5782
10,2022,3502,2596,6098
10,2021,3522,2483,6005
10,2020,3358,2447,5805
10,2019,3045,2236,5281
10,2018,2852,1955,4807
10,2017,2659,1932,4591
10,2016,2598,1921,4519
10,2015,2772,1891,4663
10,2014,2445,1924,4369
10,2013,2266,1903,4169
10,2012,2065,2022,4087
10,2011,2119,1993,4112
10,2010,2054,1861,3915
10,2009,1989,1396,3385
10,2008,1877,1170,3047
10,2007,1921,1152,3073
10,2006,1742,1105,2847
10,2005,1662,1021,2683
10,2004,1554,1026,2580
10,2003,1420,947,2367
10,2002,1312,893,2205
10,2001,1285,770,2055
10,2000,1252,715,1967
10,1999,1247,641,1888
10,1998,1139,569,1708
10,1997,1019,394,1413
10,1996,836,379,1215
10,1995,738,357,1095
10,1994,682,299,981
10,1993,421,178,599
10,1992,101,63,164
11,2023,834,1690,2524
11,2022,993,2304,3297
11,2021,809,2083,2892
11,2020,633,2119,2752
11,2019,813,1847,2660
11,2018,827,1731,2558
11,2017,876,1639,2515
11,2016,780,1795,2575
11,2015,851,1820,2671
11,2014,923,1524,2447
11,2013,945,1575,2520
11,2012,1098,1638,2736
11,2011,1112,1546,2658
11,2010,698,1115,1813
11,2009,865,649,1514
11,2008,919,523,1442
11,2007,863,412,1275
11,2006,848,387,1235
